"Time (s)","Heat Pipe TC-01","Heat Pipe TC-02","Heat Pipe TC-03","Heat Pipe TC-04","Heat Pipe TC-05","Heat Pipe TC-06","Heat Pipe TC-07","Heat Pipe TC-08","Heat Pipe TC-09","Heat Pipe TC-10"
8561.002,22.8642830442676,23.3680448814366,36.8952248492824,75.9139552579841,239.62726601284,539.613351470028,577.318528827749,577.873523240339,577.642922279029,464.312184650423
8562.002,22.8642830442676,23.3680426904766,36.8952248492824,75.9139552579841,239.62726601284,539.613351470028,577.318528827749,577.873523240339,577.642922279029,464.312184650423
8563.002,22.8642830442676,23.3680549324818,36.8952248492824,75.9139552579841,239.62726601284,539.613351470028,577.318528827749,577.873523240339,577.642922279029,464.312184650423
8564.002,22.8642830442676,23.3680576583842,36.8952248492824,75.9139552579841,239.62726601284,539.613351470028,577.318528827749,577.873523240339,577.642922279029,464.312184650423
8565.002,22.8642830442676,23.3680592690887,36.8952248492824,75.9139552579841,239.62726601284,539.613351470028,577.318528827749,577.873523240339,577.642922279029,464.312184650423
8566.002,22.8668804462072,23.3684418374286,36.9001740989836,75.9326716032956,239.716653020368,540.086573149112,577.412526485371,577.965594827071,577.738285862812,464.445210063138
8567.002,22.8668804462072,23.3684396579996,36.9001740989836,75.9326716032956,239.716653020368,540.086573149112,577.412526485371,577.965594827071,577.738285862812,464.445210063138
8568.002,22.8668804462072,23.3684518210068,36.9001740989836,75.9326716032956,239.716653020368,540.086573149112,577.412526485371,577.965594827071,577.738285862812,464.445210063138
8569.002,22.8668804462072,23.3684545357438,36.9001740989836,75.9326716032956,239.716653020368,540.086573149112,577.412526485371,577.965594827071,577.738285862812,464.445210063138
8570.002,22.8668804462072,23.3684561645726,36.9001740989836,75.9326716032956,239.716653020368,540.086573149112,577.412526485371,577.965594827071,577.738285862812,464.445210063138
8571.002,22.8694887490082,23.3688308973144,36.9051058975482,75.9513798038928,239.806135702301,540.559981521068,577.506587900789,578.057719967347,577.833598163896,464.578382725526
8572.002,22.8694887490082,23.3688287299132,36.9051058975482,75.9513798038928,239.806135702301,540.559981521068,577.506587900789,578.057719967347,577.833598163896,464.578382725526
8573.002,22.8694887490082,23.3688408120369,36.9051058975482,75.9513798038928,239.806135702301,540.559981521068,577.506587900789,578.057719967347,577.833598163896,464.578382725526
8574.002,22.8694887490082,23.368843514897,36.9051058975482,75.9513798038928,239.806135702301,540.559981521068,577.506587900789,578.057719967347,577.833598163896,464.578382725526
8575.002,22.8694887490082,23.3688451604976,36.9051058975482,75.9513798038928,239.806135702301,540.559981521068,577.506587900789,578.057719967347,577.833598163896,464.578382725526
8576.002,22.8721079984195,23.3692122181581,36.910020306509,75.9700798633204,239.895714067943,541.033579337588,577.600712934047,578.149898550899,577.928859209858,464.711702573611
8577.002,22.8721079984195,23.3692100632547,36.910020306509,75.9700798633204,239.895714067943,541.033579337588,577.600712934047,578.149898550899,577.928859209858,464.711702573611
8578.002,22.8721079984195,23.3692220627193,36.910020306509,75.9700798633204,239.895714067943,541.033579337588,577.600712934047,578.149898550899,577.928859209858,464.711702573611
8579.002,22.8721079984195,23.3692247530265,36.910020306509,75.9700798633204,239.895714067943,541.033579337588,577.600712934047,578.149898550899,577.928859209858,464.711702573611
8580.002,22.8721079984195,23.3692264140945,36.910020306509,75.9700798633204,239.895714067943,541.033579337588,577.600712934047,578.149898550899,577.928859209858,464.711702573611
8581.002,22.8747382403822,23.3695859539014,36.9149173871822,75.9887717851211,239.985388128545,541.507369287073,577.694901449049,578.242130470381,578.024069028261,464.845169548105
8582.002,22.8747382403822,23.3695838119399,36.9149173871822,75.9887717851211,239.985388128545,541.507369287073,577.694901449049,578.242130470381,578.024069028261,464.845169548105
8583.002,22.8747382403822,23.3695957270759,36.9149173871822,75.9887717851211,239.985388128545,541.507369287073,577.694901449049,578.242130470381,578.024069028261,464.845169548105
8584.002,22.8747382403822,23.3695984041874,36.9149173871822,75.9887717851211,239.985388128545,541.507369287073,577.694901449049,578.242130470381,578.024069028261,464.845169548105
8585.002,22.8747382403822,23.3696000794634,36.9149173871822,75.9887717851211,239.985388128545,541.507369287073,577.694901449049,578.242130470381,578.024069028261,464.845169548105
8586.002,22.8773795210302,23.369952255423,36.9197972006676,76.0074555728359,240.075157897264,541.9813539962,577.789153313475,578.334415621317,578.119227646654,464.978783594309
8587.002,22.8773795210302,23.3699501268237,36.9197972006676,76.0074555728359,240.075157897264,541.9813539962,577.789153313475,578.334415621317,578.119227646654,464.978783594309
8588.002,22.8773795210302,23.3699619560648,36.9197972006676,76.0074555728359,240.075157897264,541.9813539962,577.789153313475,578.334415621317,578.119227646654,464.978783594309
8589.002,22.8773795210302,23.3699646193695,36.9197972006676,76.0074555728359,240.075157897264,541.9813539962,577.789153313475,578.334415621317,578.119227646654,464.978783594309
8590.002,22.8773795210302,23.3699663076371,36.9197972006676,76.0074555728359,240.075157897264,541.9813539962,577.789153313475,578.334415621317,578.119227646654,464.978783594309
8591.002,22.880031886691,23.3703112706001,36.9246598078496,76.0261312300046,240.165023389122,542.455536031442,577.883468398695,578.426753902028,578.21433509257,465.112544662011
8592.002,22.880031886691,23.3703091557598,36.9246598078496,76.0261312300046,240.165023389122,542.455536031442,577.883468398695,578.426753902028,578.21433509257,465.112544662011
8593.002,22.880031886691,23.3703208976387,36.9246598078496,76.0261312300046,240.165023389122,542.455536031442,577.883468398695,578.426753902028,578.21433509257,465.112544662011
8594.002,22.880031886691,23.3703235465568,36.9246598078496,76.0261312300046,240.165023389122,542.455536031442,577.883468398695,578.426753902028,578.21433509257,465.112544662011
8595.002,22.880031886691,23.3703252466428,36.9246598078496,76.0261312300046,240.165023389122,542.455536031442,577.883468398695,578.426753902028,578.21433509257,465.112544662011
8596.002,22.8826953838866,23.3706631443692,36.9295052693978,76.0447987601654,240.254984620973,542.929917900561,577.977846579692,578.519145213582,578.309391393527,465.246452705398
8597.002,22.8826953838866,23.3706610436615,36.9295052693978,76.0447987601654,240.254984620973,542.929917900561,577.977846579692,578.519145213582,578.309391393527,465.246452705398
8598.002,22.8826953838866,23.3706726968069,36.9295052693978,76.0447987601654,240.254984620973,542.929917900561,577.977846579692,578.519145213582,578.309391393527,465.246452705398
8599.002,22.8826953838866,23.3706753307886,36.9295052693978,76.0447987601654,240.254984620973,542.929917900562,577.977846579692,578.519145213582,578.309391393527,465.246452705398
8600.002,22.8826953838866,23.3706770415613,36.9295052693978,76.0447987601654,240.254984620973,542.929917900562,577.977846579692,578.519145213582,578.309391393527,465.246452705398
8601.002,22.8853700593341,23.3710080187834,36.9343336457681,76.0634581668548,240.345041611457,543.404502054055,578.072287734976,578.611589459726,578.404396577029,465.380507682955
8602.002,22.8853700593341,23.3710059325603,36.9343336457681,76.0634581668548,240.345041611457,543.404502054055,578.072287734976,578.611589459726,578.404396577029,465.380507682955
8603.002,22.8853700593341,23.3710174956935,36.9343336457681,76.0634581668548,240.345041611457,543.404502054055,578.072287734976,578.611589459726,578.404396577029,465.380507682955
8604.002,22.8853700593341,23.371020114218,36.9343336457681,76.0634581668548,240.345041611457,543.404502054055,578.072287734976,578.611589459726,578.404396577029,465.380507682955
8605.002,22.8853700593341,23.3710218345852,36.9343336457681,76.0634581668548,240.345041611457,543.404502054055,578.072287734976,578.611589459726,578.404396577029,465.380507682955
8606.002,22.8880559599468,23.3713460330701,36.9391449972032,76.0821094536079,240.435194380969,543.879290886572,578.166791746513,578.704086546835,578.499350670565,465.514709557379
8607.002,22.8880559599468,23.3713439616623,36.9391449972032,76.0821094536079,240.435194380969,543.879290886572,578.166791746513,578.704086546835,578.499350670565,465.514709557379
8608.002,22.8880559599468,23.371355433594,36.9391449972032,76.0821094536079,240.435194380969,543.879290886572,578.166791746513,578.704086546835,578.499350670565,465.514709557379
8609.002,22.8880559599468,23.3713580361685,36.9391449972032,76.0821094536079,240.435194380969,543.879290886572,578.166791746513,578.704086546835,578.499350670565,465.514709557379
8610.002,22.8880559599468,23.3713597650777,36.9391449972032,76.0821094536079,240.435194380969,543.879290886572,578.166791746513,578.704086546835,578.499350670565,465.514709557379
8611.002,22.8907531328349,23.3716773236875,36.9439393837331,76.1007526239582,240.525442951623,544.354286738294,578.261358499643,578.796636383851,578.59425370161,465.649058295489
8612.002,22.8907531328349,23.3716752674051,36.9439393837331,76.1007526239582,240.525442951623,544.354286738294,578.261358499643,578.796636383851,578.59425370161,465.649058295489
8613.002,22.8907531328349,23.3716866470322,36.9439393837331,76.1007526239582,240.525442951623,544.354286738294,578.261358499643,578.796636383851,578.59425370161,465.649058295489
8614.002,22.8907531328349,23.3716892331912,36.9439393837331,76.1007526239582,240.525442951623,544.354286738294,578.261358499643,578.796636383851,578.59425370161,465.649058295489
8615.002,22.8907531328349,23.3716909696275,36.9439393837331,76.1007526239582,240.525442951623,544.354286738294,578.261358499643,578.796636383851,578.59425370161,465.649058295489
8616.002,22.8934616253061,23.3720020243795,36.9487168651764,76.1193876814377,240.615787347213,544.829491896278,578.355987883011,578.889238882229,578.689105697621,465.783553868135
8617.002,22.8934616253061,23.3719999835129,36.9487168651764,76.1193876814377,240.615787347213,544.829491896278,578.355987883011,578.889238882229,578.689105697621,465.783553868135
8618.002,22.8934616253061,23.3720112698156,36.9487168651764,76.1193876814377,240.615787347213,544.829491896278,578.355987883011,578.889238882229,578.689105697621,465.783553868135
8619.002,22.8934616253061,23.3720138391195,36.9487168651764,76.1193876814377,240.615787347213,544.829491896278,578.355987883011,578.889238882229,578.689105697621,465.783553868135
8620.002,22.8934616253061,23.372015582105,36.9487168651764,76.1193876814377,240.615787347213,544.829491896278,578.355987883011,578.889238882229,578.689105697621,465.783553868135
8621.002,22.896181484867,23.3723202662295,36.9534775011408,76.1380146295768,240.706227593181,545.304908595773,578.450679788489,578.981893955885,578.783906686044,465.918196250119
8622.002,22.896181484867,23.3723182410501,36.9534775011408,76.1380146295768,240.706227593181,545.304908595773,578.450679788489,578.981893955885,578.783906686044,465.918196250119
8623.002,22.896181484867,23.3723294330886,36.9534775011408,76.1380146295768,240.706227593181,545.304908595773,578.450679788489,578.981893955885,578.783906686044,465.918196250119
8624.002,22.896181484867,23.3723319851236,36.9534775011408,76.1380146295768,240.706227593181,545.304908595773,578.450679788489,578.981893955885,578.783906686044,465.918196250119
8625.002,22.896181484867,23.3723337337161,36.9534775011408,76.1380146295768,240.706227593181,545.304908595773,578.450679788489,578.981893955885,578.783906686044,465.918196250119
8626.002,22.8989127592232,23.3726321777134,36.9582213510236,76.1566334719045,240.796763716585,545.780539021499,578.545434111107,579.074601521137,578.87865669431,466.052985420105
8627.002,22.8989127592232,23.3726301684742,36.9582213510236,76.1566334719045,240.796763716585,545.780539021499,578.545434111107,579.074601521137,578.87865669431,466.052985420105
8628.002,22.8989127592232,23.3726412653865,36.9582213510236,76.1566334719045,240.796763716585,545.780539021499,578.545434111107,579.074601521137,578.87865669431,466.052985420105
8629.002,22.8989127592232,23.3726437997628,36.9582213510236,76.1566334719045,240.796763716585,545.780539021499,578.545434111107,579.074601521137,578.87865669431,466.052985420105
8630.002,22.8989127592232,23.3726455530548,36.9582213510236,76.1566334719045,240.796763716585,545.780539021499,578.545434111107,579.074601521137,578.87865669431,466.052985420105
8631.002,22.9016554962807,23.3729378847519,36.962948474013,76.1752442119482,240.887395746061,546.256385308894,578.640250748986,579.167361496661,578.973355749832,466.187921360543
8632.002,22.9016554962807,23.3729358916881,36.962948474013,76.1752442119482,240.887395746061,546.256385308894,578.640250748986,579.167361496661,578.973355749832,466.187921360543
8633.002,22.9016554962807,23.3729468926866,36.962948474013,76.1752442119482,240.887395746061,546.256385308894,578.640250748986,579.167361496661,578.973355749832,466.187921360543
8634.002,22.9016554962807,23.3729494090383,36.962948474013,76.1752442119482,240.887395746061,546.256385308894,578.640250748986,579.167361496661,578.973355749832,466.187921360543
8635.002,22.9016554962807,23.3729511661561,36.962948474013,76.1752442119482,240.887395746061,546.256385308894,578.640250748986,579.167361496661,578.973355749832,466.187921360543
8636.002,22.9044097441467,23.3732375107606,36.9676589290881,76.1938468532335,240.978123711795,546.732449545335,578.735129603266,579.260173803434,579.068003880011,466.323004057585
8637.002,22.9044097441467,23.3732355340904,36.9676589290881,76.1938468532335,240.978123711795,546.732449545335,578.735129603266,579.260173803434,579.068003880011,466.323004057585
8638.002,22.9044097441467,23.3732464384595,36.9676589290881,76.1938468532335,240.978123711795,546.732449545335,578.735129603266,579.260173803434,579.068003880011,466.323004057585
8639.002,22.9044097441467,23.3732489364435,36.9676589290881,76.1938468532335,240.978123711795,546.732449545335,578.735129603266,579.260173803434,579.068003880011,466.323004057585
8640.002,22.9044097441467,23.3732506965461,36.9676589290881,76.1938468532335,240.978123711795,546.732449545335,578.735129603266,579.260173803434,579.068003880011,466.323004057585
8641.002,22.9071755511299,23.3735311767005,36.9723527750204,76.212441399285,241.068947645492,547.208733771324,578.830070578041,579.353038364688,579.162601112234,466.458233501011
8642.002,22.9071755511299,23.3735292166255,36.9723527750204,76.212441399285,241.068947645492,547.208733771324,578.830070578041,579.353038364688,579.162601112234,466.458233501011
8643.002,22.9071755511299,23.373540023719,36.9723527750204,76.212441399285,241.068947645492,547.208733771324,578.830070578041,579.353038364688,579.162601112234,466.458233501011
8644.002,22.9071755511299,23.3735425030141,36.9723527750204,76.212441399285,241.068947645492,547.208733771324,578.830070578041,579.353038364688,579.162601112234,466.458233501011
8645.002,22.9071755511299,23.3735442652924,36.9723527750204,76.212441399285,241.068947645492,547.208733771324,578.830070578041,579.353038364688,579.162601112234,466.458233501011
8646.002,22.9099529657422,23.3738190011263,36.977030070374,76.2310278536252,241.159867580339,547.685239981647,578.925073580293,579.44595510586,579.25714747387,466.593609684147
8647.002,22.9099529657422,23.3738170578324,36.977030070374,76.2310278536252,241.159867580339,547.685239981647,578.925073580293,579.44595510586,579.25714747387,466.593609684147
8648.002,22.9099529657422,23.3738277670708,36.977030070374,76.2310278536252,241.159867580339,547.685239981647,578.925073580293,579.44595510586,579.25714747387,466.593609684147
8649.002,22.9099529657422,23.373830227377,36.977030070374,76.2310278536252,241.159867580339,547.685239981647,578.925073580293,579.44595510586,579.25714747387,466.593609684147
8650.002,22.9099529657422,23.3738319910528,36.977030070374,76.2310278536252,241.159867580339,547.685239981647,578.925073580293,579.44595510586,579.25714747387,466.593609684147
8651.002,22.9127420366988,23.3741011002346,36.9816908735064,76.2496062197756,241.250883550983,548.161970126506,579.020138519831,579.538923954544,579.351642992275,466.729132603796
8652.002,22.9127420366988,23.3740991738922,36.9816908735064,76.2496062197756,241.250883550983,548.161970126506,579.020138519831,579.538923954544,579.351642992275,466.729132603796
8653.002,22.9127420366988,23.3741097847604,36.9816908735064,76.2496062197756,241.250883550983,548.161970126506,579.020138519831,579.538923954544,579.351642992275,466.729132603796
8654.002,22.9127420366988,23.3741122257985,36.9816908735064,76.2496062197756,241.250883550983,548.161970126506,579.020138519831,579.538923954544,579.351642992275,466.729132603796
8655.002,22.9127420366988,23.3741139901234,36.9816908735064,76.2496062197756,241.250883550983,548.161970126506,579.020138519831,579.538923954544,579.351642992275,466.729132603796
8656.002,22.9155428129193,23.3743775879106,36.9863352425695,76.2681765012557,241.341995593495,548.638926112616,579.115265309227,579.631944840445,579.446087694792,466.864802260162
8657.002,22.9155428129193,23.3743756786755,36.9863352425695,76.2681765012557,241.341995593495,548.638926112616,579.115265309227,579.631944840445,579.446087694792,466.864802260162
8658.002,22.9155428129193,23.3743861907205,36.9863352425695,76.2681765012557,241.341995593495,548.638926112616,579.115265309227,579.631944840445,579.446087694792,466.864802260162
8659.002,22.9155428129193,23.3743886122307,36.9863352425695,76.2681765012557,241.341995593495,548.638926112616,579.115265309227,579.631944840445,579.446087694792,466.864802260162
8660.002,22.9155428129193,23.3743903764856,36.9863352425695,76.2681765012557,241.341995593495,548.638926112616,579.115265309227,579.631944840445,579.446087694792,466.864802260162
8661.002,22.918355343529,23.3746485757743,36.9909632355101,76.2867387015838,241.433203745346,549.116109804289,579.210453863754,579.725017695335,579.540481608748,467.000618656779
8662.002,22.918355343529,23.3746466837881,36.9909632355101,76.2867387015838,241.433203745346,549.116109804289,579.210453863754,579.725017695335,579.540481608748,467.000618656779
8663.002,22.918355343529,23.3746570966163,36.9909632355101,76.2867387015838,241.433203745346,549.116109804289,579.210453863754,579.725017695335,579.540481608748,467.000618656779
8664.002,22.918355343529,23.3746594983582,36.9909632355101,76.2867387015838,241.433203745346,549.116109804289,579.210453863754,579.725017695335,579.540481608748,467.000618656779
8665.002,22.918355343529,23.374661261852,36.9909632355101,76.2867387015838,241.433203745346,549.116109804289,579.210453863754,579.725017695335,579.540481608748,467.000618656779
8666.002,22.9211796778588,23.3749141732255,36.9955749100708,76.3052928242764,241.524508045373,549.593523024473,579.305704101327,579.818142453006,579.634824761453,467.136581800444
8667.002,22.9211796778588,23.374912298616,36.9955749100708,76.3052928242764,241.524508045373,549.593523024473,579.305704101327,579.818142453006,579.634824761453,467.136581800444
8668.002,22.9211796778588,23.3749226118913,36.9955749100708,76.3052928242764,241.524508045373,549.593523024473,579.305704101327,579.818142453006,579.634824761453,467.136581800444
8669.002,22.9211796778588,23.3749249936428,36.9955749100708,76.3052928242764,241.524508045373,549.593523024473,579.305704101327,579.818142453006,579.634824761453,467.136581800444
